County,Pop2010
Anderson County,4419.35294117647
Bedford County,5006.444444444444
Benton County,3297.8
Bledsoe County,4292.0
Blount County,4393.214285714285
Bradley County,5208.578947368421
Campbell County,3701.4545454545455
Cannon County,4600.333333333333
Carroll County,4074.5714285714284
Carter County,3377.8823529411766
Cheatham County,4345.0
Chester County,5710.333333333333
Claiborne County,3579.222222222222
Clay County,3930.5
Cocke County,3962.4444444444443
Coffee County,4399.666666666667
Crockett County,2917.2
Cumberland County,4003.785714285714
Davidson County,3941.3899371069183
DeKalb County,4680.75
Decatur County,2939.25
Dickson County,4966.6
Dyer County,4791.875
Fayette County,3492.090909090909
Fentress County,4489.75
Franklin County,4561.333333333333
Gibson County,3548.785714285714
Giles County,3685.625
Grainger County,4531.4
Greene County,4588.733333333334
Grundy County,3425.75
Hamblen County,5212.0
Hamilton County,4103.207317073171
Hancock County,3409.5
Hardeman County,4542.166666666667
Hardin County,4337.666666666667
Hawkins County,4371.7692307692305
Haywood County,3131.1666666666665
Henderson County,4628.166666666667
Henry County,3592.222222222222
Hickman County,4115.0
Houston County,2808.6666666666665
Humphreys County,3707.6
Jackson County,2909.5
Jefferson County,5711.888888888889
Johnson County,3648.8
Knox County,3859.160714285714
Lake County,3916.0
Lauderdale County,3090.5555555555557
Lawrence County,3806.2727272727275
Lewis County,6080.5
Lincoln County,3706.777777777778
Loudon County,4855.6
Macon County,5562.0
Madison County,3640.5185185185187
Marion County,4706.166666666667
Marshall County,5102.833333333333
Maury County,4762.117647058823
McMinn County,5226.6
McNairy County,3725.0
Meigs County,3917.6666666666665
Monroe County,6359.857142857143
Montgomery County,4418.74358974359
Moore County,3181.0
Morgan County,4397.4
Obion County,3180.7
Overton County,3154.714285714286
Perry County,3957.5
Pickett County,5077.0
Polk County,3365.0
Putnam County,4821.4
Rhea County,5301.5
Roane County,5418.1
Robertson County,4734.5
Rutherford County,5359.265306122449
Scott County,4445.6
Sequatchie County,4704.0
Sevier County,4993.833333333333
Shelby County,4216.563636363637
Smith County,3833.2
Stewart County,4441.333333333333
Sullivan County,4021.102564102564
Sumner County,3824.8809523809523
Tipton County,4698.538461538462
Trousdale County,3935.0
Unicoi County,4578.25
Union County,4777.25
Van Buren County,2774.0
Warren County,4426.555555555556
Washington County,5346.913043478261
Wayne County,4255.25
Weakley County,3183.7272727272725
White County,4306.833333333333
Williamson County,4950.864864864865
Wilson County,5428.238095238095
