,CT_Clean,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
0,201.0,Anderson County,1,3111,1546,0,6,0.19,0,1,0,0,0,1,21.8,48973.0,0,1,0,1,0,0,0,0,161.0,1286.0,161.0,72.0,545.0,72.0,1286.0,41.34,545.0,17.52,287.0,9.22,201.0,6.47,617.0,19.85,586.0,18.83,29.0,0.94,1.0,0.02,4.0,0.13,49.0,1.57,29.0,0.94,78.0,5.04,170.0,11.02,161.0,5.17,72.0,2.33,34.0,1.09,36.0,1.17,66.0,2.12,85.0,2.72,3.0,0.11,0.0,0.0,1.0,0.02,6.0,0.2,1.0,0.02,10.0,0.63,21.0,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381,706,384,1969,853,130,2,9,148,145,206,438
1,202.01,Anderson County,1,3670,1535,0,103,2.81,0,0,0,0,0,0,4.1,124194.0,1,1,1,1,1,0,0,0,1130.0,2333.0,1130.0,190.0,367.0,190.0,2333.0,63.56,367.0,9.99,529.0,14.41,405.0,11.02,2065.0,56.27,70.0,1.9,149.0,4.07,0.0,0.0,2.0,0.07,46.0,1.26,51.0,1.38,29.0,1.87,17.0,1.12,1130.0,30.78,190.0,5.19,291.0,7.92,156.0,4.26,1005.0,27.38,33.0,0.9,70.0,1.91,0.0,0.0,1.0,0.03,20.0,0.56,28.0,0.76,17.0,1.08,8.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,778,658,3158,144,256,0,6,106,84,49,31
2,202.02,Anderson County,1,4507,2025,0,230,5.1,0,0,0,0,1,0,17.4,92583.0,1,1,1,1,1,0,0,1,1353.0,2645.0,1353.0,59.0,715.0,59.0,2645.0,58.68,715.0,15.87,554.0,12.28,647.0,14.35,2363.0,52.43,85.0,1.9,86.0,1.92,0.0,0.0,14.0,0.31,96.0,2.13,99.0,2.21,108.0,5.33,138.0,6.79,1353.0,30.03,59.0,1.3,266.0,5.91,352.0,7.81,1238.0,27.47,28.0,0.63,56.0,1.25,0.0,0.0,10.0,0.21,21.0,0.46,26.0,0.58,24.0,1.16,66.0,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1741,850,1364,3988,194,128,0,18,179,214,174,208
3,203.0,Anderson County,1,3822,1656,0,0,0.0,0,0,0,0,0,0,8.8,66667.0,1,1,1,1,1,0,0,0,2904.0,3780.0,2904.0,768.0,1072.0,768.0,3780.0,98.91,1072.0,28.04,845.0,22.1,631.0,16.5,3253.0,85.12,275.0,7.2,20.0,0.52,3.0,0.08,18.0,0.46,211.0,5.53,177.0,4.62,58.0,3.51,120.0,7.27,2904.0,75.99,768.0,20.09,674.0,17.64,483.0,12.63,2505.0,65.54,223.0,5.85,12.0,0.32,1.0,0.02,12.0,0.3,151.0,3.95,119.0,3.11,27.0,1.66,90.0,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,852,640,3290,278,20,3,18,213,179,53,109
4,204.0,Anderson County,1,4508,2013,0,106,2.35,1,1,1,0,0,1,27.3,41990.0,1,1,1,1,1,0,0,0,529.0,2857.0,529.0,271.0,1451.0,271.0,2857.0,63.37,1451.0,32.19,649.0,14.4,445.0,9.88,2414.0,53.54,160.0,3.55,24.0,0.54,3.0,0.07,17.0,0.38,238.0,5.29,219.0,4.85,63.0,3.14,257.0,12.76,529.0,11.74,271.0,6.01,119.0,2.64,94.0,2.08,444.0,9.85,30.0,0.66,17.0,0.37,1.0,0.02,2.0,0.05,36.0,0.8,24.0,0.53,14.0,0.67,45.0,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,966,761,3855,264,34,3,20,332,277,86,406
5,205.0,Anderson County,1,3864,1599,0,38,0.98,0,1,0,0,0,1,28.2,35060.0,0,1,0,1,0,0,0,0,403.0,2732.0,403.0,245.0,1627.0,245.0,2732.0,70.7,1627.0,42.12,722.0,18.69,347.0,8.98,2229.0,57.68,255.0,6.61,16.0,0.42,0.0,0.0,22.0,0.56,210.0,5.44,166.0,4.29,55.0,3.43,334.0,20.9,403.0,10.44,245.0,6.35,95.0,2.47,69.0,1.78,362.0,9.38,17.0,0.44,2.0,0.04,0.0,0.0,2.0,0.06,20.0,0.52,17.0,0.44,7.0,0.45,51.0,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1017,502,3102,372,18,0,26,346,258,79,457
6,206.0,Anderson County,1,2427,981,0,0,0.0,0,0,0,0,0,0,11.3,81181.0,1,1,1,1,1,0,0,0,1433.0,2174.0,1433.0,242.0,456.0,242.0,2174.0,89.58,456.0,18.8,499.0,20.56,503.0,20.73,1956.0,80.61,92.0,3.78,49.0,2.01,1.0,0.04,6.0,0.26,70.0,2.89,87.0,3.6,15.0,1.52,91.0,9.23,1433.0,59.03,242.0,9.98,326.0,13.43,316.0,13.0,1295.0,53.37,51.0,2.09,34.0,1.39,0.0,0.02,4.0,0.17,48.0,1.99,47.0,1.92,10.0,1.05,58.0,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,557,560,2152,129,52,1,7,86,99,16,99
7,207.0,Anderson County,0,1668,656,0,0,0.0,0,0,0,0,0,1,28.6,36328.0,0,0,0,0,0,0,0,0,111.0,111.0,,62.0,62.0,,1668.0,100.0,941.0,56.39,373.0,22.36,251.0,15.05,1640.0,98.32,7.0,0.42,5.0,0.3,0.0,0.0,2.0,0.12,14.0,0.84,8.0,0.48,65.0,9.96,167.0,25.42,1668.0,100.0,941.0,56.39,373.0,22.36,251.0,15.05,1640.0,98.32,7.0,0.42,5.0,0.3,0.0,0.0,2.0,0.12,14.0,0.84,8.0,0.48,65.0,9.96,167.0,25.42,111.0,6.64,62.0,3.71,18.0,1.08,19.0,1.16,103.0,6.16,0.0,0.0,5.0,0.3,0.0,0.0,0.0,0.0,3.0,0.18,2.0,0.12,5.0,0.75,13.0,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,893,373,251,1640,7,5,0,2,14,8,60,153
8,208.0,Anderson County,0,4875,1964,0,116,2.38,0,0,0,1,1,1,28.4,39638.0,0,0,0,0,0,0,0,1,,,,,,,4875.0,100.0,2405.0,49.34,1059.0,21.72,945.0,19.38,4783.0,98.11,10.0,0.21,8.0,0.16,0.0,0.0,11.0,0.23,63.0,1.29,41.0,0.84,198.0,10.06,638.0,32.48,4875.0,100.0,2405.0,49.34,1059.0,21.72,945.0,19.38,4783.0,98.11,10.0,0.21,8.0,0.16,0.0,0.0,11.0,0.23,63.0,1.29,41.0,0.84,198.0,10.06,638.0,32.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351,1059,945,4783,10,8,0,11,63,41,187,594
9,209.01,Anderson County,0,5837,2297,0,118,2.02,0,0,0,0,1,0,8.4,72065.0,0,0,0,0,0,0,0,1,,,,,,,5837.0,100.0,1735.0,29.73,1300.0,22.27,1014.0,17.37,5745.0,98.42,14.0,0.24,11.0,0.19,2.0,0.03,14.0,0.24,51.0,0.87,33.0,0.57,110.0,4.79,358.0,15.6,5837.0,100.0,1735.0,29.73,1300.0,22.27,1014.0,17.37,5745.0,98.42,14.0,0.24,11.0,0.19,2.0,0.03,14.0,0.24,51.0,0.87,33.0,0.57,110.0,4.79,358.0,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,1300,1014,5745,14,11,2,14,51,33,103,352
